Profile Name,Start Time,Duration,Game Title,Game Version,Platform,Device Type,Country,Esn,Ip
Daniel,2024-08-21 00:43:01,338,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 16:16:22,30,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 16:11:22,240,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 07:36:48,45,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 07:32:48,164,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 03:22:48,156,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 01:05:35,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-20 00:18:50,780,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 22:02:05,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 21:21:18,360,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 19:32:39,1129,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 17:50:56,120,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 08:18:32,57,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 08:13:32,236,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-19 00:40:21,391,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 21:36:48,240,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 17:11:27,66,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 17:09:27,59,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 13:15:40,60,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 11:05:43,15,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 11:03:42,59,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 06:51:56,180,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-18 04:05:16,1169,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-17 23:39:54,6,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-17 23:37:53,59,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:c0a5:1774:ebd9:2132
Daniel,2024-08-17 22:17:27,480,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:c0a5:1774:ebd9:2132
Daniel,2024-08-17 15:46:02,88,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-17 15:42:01,179,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:c0a5:1774:ebd9:2132
Daniel,2024-08-16 20:12:43,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,205.189.187.4
Daniel,2024-08-16 20:10:07,31,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,205.189.187.4
Daniel,2024-08-16 13:34:12,114,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:c0a5:1774:ebd9:2132
Daniel,2024-08-16 13:26:11,592,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:414f:fcc3:663b:20e0
Daniel,2024-08-16 06:10:44,119,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:a037:6104:76d2:e115
Daniel,2024-08-16 05:03:35,540,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:a037:6104:76d2:e115
Daniel,2024-08-16 00:15:17,93,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2607:fea8:11dc:f9e0:c0a5:1774:ebd9:2132
Daniel,2024-08-16 00:14:17,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,138.51.80.156
Daniel,2024-08-15 20:43:17,180,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,2606:fa00:8a0:700:b451:c81e:7093:2232
Daniel,2024-08-15 09:04:04,240,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-15 07:07:19,300,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-15 04:22:59,4052,SpongeBob: Get Cooking,2.0.0,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-0DC15073F912EF558991E862515BBCD8F8ACF70FD52FAC0E41662E47C7F2FC876,209.141.173.80
Daniel,2024-08-15 04:07:57,59,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-15 02:31:02,359,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-15 02:30:02,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,138.51.80.156
Daniel,2024-08-15 01:28:25,180,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 23:01:52,119,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 22:31:32,22,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,138.51.80.156
Daniel,2024-08-14 22:27:31,179,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 21:11:37,19,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,138.51.80.156
Daniel,2024-08-14 21:03:36,420,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 16:20:02,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 16:15:01,348,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 08:45:46,39,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-14 08:42:46,120,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 20:49:06,300,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 19:48:05,300,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 17:49:56,720,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 05:26:38,23,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 05:25:38,120,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 04:50:11,60,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
