Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Daniel,NFCDIE-03-KKTA28X3W13CXDQKW83QFM4D5HKD8F,Edge OSS - Windows (Cadmium),2023-12-16T04:12:46.296,2024-04-04T20:06:44.699,2023-12-16T04:15:16.624,2024-04-04T20:06:44.699,2023-12-16T04:12:46.296,2024-04-04T20:06:44.699,2023-12-16T04:15:16.624,2024-04-04T20:06:44.699,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-0FB99AA26285D6D888FCDCF0E405B73B577D7E4DA857D012C6463BD28DCE7307B,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFCDCH-02-KX1U5DLRFU59VG18ETJFGT5XR0APD6,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Daniel,TSBODMU16B087187,Compal L621 Smart TV,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,1970-01-01T00:00:00.000
Daniel,NFCDIE-03-KAG3N86HP9AY39TLRXR2HUWXMUYD5Q,Edge OSS - Windows (Cadmium),2023-07-07T04:04:16.476,2023-10-06T23:15:28.886,2023-07-07T04:05:11.865,2023-10-06T23:15:28.886,2023-07-07T04:04:16.476,2023-10-06T23:15:28.886,2023-07-07T04:05:11.865,2023-10-06T23:15:28.886,1970-01-01T00:00:00.000
Daniel,NFCDCH-AP-KF4U637XT0QHM74JWGYNCVUK77Y908,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,GOOGCAP0010000000000000009773310,Google Chromecast V5 Streaming Stick,2023-06-19T00:56:19.028,2023-07-30T03:32:39.307,2023-06-19T00:56:19.028,2023-07-30T03:32:39.307,2023-06-19T00:56:19.028,2023-07-30T03:32:39.307,2023-06-19T00:56:19.028,2023-07-30T03:32:39.307,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-SAMSUSM-S901W-23945-389FDB86A844B0A6E0A4CFCF4D3BF76D320681432A8CD10B446AACE06388ED2A,DefaultWidevineAndroidPhone,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,1970-01-01T00:00:00.000
Daniel,GOOGEAR0010000000000000031505090,Google Chromecast V3 Streaming Stick,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,1970-01-01T00:00:00.000
Daniel,NFCDCH-02-K63GYRLXA8W2URYHFGHKXF4D7LFD1G,Chrome PC (Cadmium),2023-05-15T05:15:24.164,2023-07-02T02:45:21.080,2023-05-15T05:15:24.164,2023-07-02T02:45:21.080,2023-05-15T05:15:24.164,2023-07-02T02:45:21.080,2023-05-15T05:15:24.164,2023-07-02T02:45:21.080,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HUAWEWAS-LX3-4445-463A5C90035ED016C3B974EC91F156333DE002B2B76A55934F3363CABD292F61,Android DefaultWidevineL3Phone Android Phone,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,1970-01-01T00:00:00.000
Daniel,NFCDCH-AP-K853R9QFH7MAP5E4MX2TKC391FKV9G,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-S-L3-SAMSUSM-S901W-22594-275B36C00D0006574CEB6CDF9B4F984DB06A706AA3B863BDC2DEF2E42B2B5187,Netflix MobileSignupStubRelease Android,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFCDOT-AP-K5VKFR75J250814349RNCGW5ARVVQ5,Netflix Android Phone Other HTML 5,,,,,,,,,1970-01-01T00:00:00.000
Ana,COMRGR1005-000C010D0306A228-F88B3786B927,Comcast X1 ARM 4K MVPD STB,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,
Test,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-27454-0B98D078D6FAB07AA455F014602C8CC582DBFF1481F1B102CA402FD39D037DC5,Google Sabrina ATV Set Top Box,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,
Kids,NFANDROID1-PRV-P-SAMSUSM-G960U-7176-FF5801FEAF26E55CDAE3550CF70A9FF93E9B495A10A2ABB8C6CA3538DAE9A857,DefaultWidevineAndroidPhone,2024-12-05T20:17:46.827,2025-04-02T07:34:06.705,2024-12-05T20:17:46.827,2025-04-02T07:34:06.705,2024-12-16T15:31:57.724,2024-12-16T16:04:41.836,2024-12-16T15:31:57.724,2024-12-16T16:04:41.836,
Ana,NFANDROID1-PRV-P-L3-HXY==MP05-8158-320991456481CBCCF4EF3AA8871D7F38FE7BCCC83887C7BE8C13A0CAF3F67AAB,Android DefaultWidevineL3Phone Android Phone,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2024-05-17T04:32:20.815,2024-10-01T17:52:35.304,2024-05-17T04:32:20.815,2024-10-01T17:52:35.304,
Kids,NFANDROID1-PRV-P-L3-HXY==MP05-8158-320991456481CBCCF4EF3AA8871D7F38FE7BCCC83887C7BE8C13A0CAF3F67AAB,Android DefaultWidevineL3Phone Android Phone,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-10-27T04:56:40.468,2024-03-14T22:32:24.143,2023-10-27T04:56:40.468,2023-10-27T06:37:01.056,
Test,NFANDROID1-PRV-P-L3-HXY==MP05-8158-320991456481CBCCF4EF3AA8871D7F38FE7BCCC83887C7BE8C13A0CAF3F67AAB,Android DefaultWidevineL3Phone Android Phone,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-08-21T01:20:11.984,2024-01-08T01:50:10.956,2023-08-21T01:20:11.984,2023-11-30T02:56:48.041,
Ana,TSBODMU16B087187,Compal L621 Smart TV,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-20T00:57:06.804,2023-08-06T21:25:08.905,2023-05-20T00:57:06.804,2023-08-06T21:25:08.905,
Ana,NFANDROID1-PRV-P-SAMSUSM-S901W-23945-36809CF24504F93A0BF51D34F631525A5150DD01F8367BBDB24F0495023AAD09,DefaultWidevineAndroidPhone,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-08-06T21:16:00.000,2023-08-06T21:16:00.000,2023-08-06T21:16:00.000,2023-08-06T21:16:00.000,
Ana,GOOGCAP0010000000000000009773310,Google Chromecast V5 Streaming Stick,2023-06-19T00:56:19.028,2023-07-30T03:32:39.307,2023-06-19T00:56:19.028,2023-07-30T03:32:39.307,2023-07-08T00:06:36.321,2023-07-30T03:32:39.307,2023-07-08T00:06:36.321,2023-07-30T03:32:39.307,
Ana,NFANDROID1-PRV-P-SAMSUSM-S901W-23945-389FDB86A844B0A6E0A4CFCF4D3BF76D320681432A8CD10B446AACE06388ED2A,DefaultWidevineAndroidPhone,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,2023-05-18T01:51:12.148,2023-07-30T02:18:13.108,
Ana,GOOGEAR0010000000000000031505090,Google Chromecast V3 Streaming Stick,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,2023-07-05T03:11:35.916,
Test,NFANDROID1-PRV-P-L3-HUAWEWAS-LX3-4445-463A5C90035ED016C3B974EC91F156333DE002B2B76A55934F3363CABD292F61,Android DefaultWidevineL3Phone Android Phone,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,2023-06-09T02:36:55.844,2023-06-09T02:43:45.172,
Test,NFANDROID1-PRV-P-SAMSUSM-S901W-23945-36809CF24504F93A0BF51D34F631525A5150DD01F8367BBDB24F0495023AAD09,DefaultWidevineAndroidPhone,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-06-04T02:28:48.139,2023-06-05T00:27:54.059,2023-06-04T02:28:48.139,2023-06-05T00:27:54.059,
