Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Daniel,CA,Android Phone,0,disney,,select,suggestion_results,2023-06-02 23:26:13
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-27 22:22:55
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-27 22:22:25
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-27 22:22:08
Daniel,CA,Android Phone,0,,"Black Mirror: Season 1: ""The Entire History of You""",play,prequery_results,2023-05-27 22:21:43
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-27 22:21:35
Daniel,CA,Android Phone,0,black mirr,,select,title_results,2023-05-27 22:17:47
Daniel,CA,HTML 5,0,riverda,,play,title_results,2023-05-24 01:59:53
Daniel,CA,HTML 5,0,riverda,,play,title_results,2023-05-24 01:58:28
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-19 21:16:27
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-19 21:12:52
Daniel,CA,Android Phone,0,pokemon,"Bakugan: Evolutions: Season 1: ""Evolutions Unleashed!""",play,title_results,2023-05-19 15:29:43
Daniel,CA,Android Phone,0,pokemon,,select,title_results,2023-05-19 15:29:30
Daniel,CA,Android Phone,0,pokemon,Pokémon: The Arceus Chronicles,select,title_results,2023-05-19 15:28:59
Daniel,CA,Android Phone,0,pokemon,Pokémon: Mewtwo Strikes Back - Evolution,play,title_results,2023-05-19 15:26:49
Daniel,CA,Android Phone,0,pokemon,Pokémon: Mewtwo Strikes Back - Evolution,select,title_results,2023-05-19 15:26:40
Daniel,CA,Android Phone,0,pokemon,"Pokémon Master Journeys: The Series: Part 1: ""To Train, or Not to Train!""",play,title_results,2023-05-19 15:25:45
Daniel,CA,Android Phone,0,pokemon,,select,title_results,2023-05-19 15:25:18
Daniel,CA,Android Phone,0,nanking ,Yara,select,title_results,2023-05-19 14:46:45
Daniel,CA,Android Phone,0,nanking ,All Quiet on the Western Front,select,title_results,2023-05-19 14:46:40
Daniel,CA,Android Phone,0,nanking ,Goosebumps,select,title_results,2023-05-19 14:45:53
Daniel,CA,Android Phone,0,nanking ,Goosebumps,select,title_results,2023-05-19 14:45:53
Daniel,CA,Android Phone,0,nanking ,,select,title_results,2023-05-19 14:45:18
Daniel,CA,Android Phone,0,nanking ,First They Killed My Father,select,title_results,2023-05-19 14:45:03
Daniel,CA,Android Phone,0,beef,,select,title_results,2023-05-18 01:39:54
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-15 00:13:27
Daniel,CA,Android Phone,0,,"Superstore: Season 1: ""Mannequin""",play,prequery_results,2023-05-15 00:05:08
Daniel,CA,Android Phone,0,,"Superstore: Season 1: ""Mannequin""",play,prequery_results,2023-05-14 23:57:17
Daniel,CA,Android Phone,0,,"Superstore: Season 1: ""Mannequin""",play,prequery_results,2023-05-14 23:45:49
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-14 23:45:36
Daniel,CA,Android Phone,0,superstore ,,select,title_results,2023-05-14 06:09:46
Daniel,CA,Android Phone,0,superstore ,Employee of the Month,select,title_results,2023-05-14 06:09:39
Daniel,CA,Android Phone,0,suits,,select,title_results,2023-05-14 05:59:11
Daniel,CA,Android Phone,0,suits,,select,title_results,2023-05-14 05:58:58
Daniel,CA,Android Phone,0,,"Superstore: Season 1: ""Shots and Salsa""",play,prequery_results,2023-05-14 00:18:14
Daniel,CA,Android Phone,0,,"Superstore: Season 1: ""Shots and Salsa""",play,prequery_results,2023-05-14 00:17:45
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-14 00:17:26
Daniel,CA,Android Phone,0,river,,select,title_results,2023-05-14 00:16:38
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-13 19:13:23
Daniel,CA,Android Phone,0,superstore,"Superstore: Season 4: ""Sandra's Fight""",play,title_results,2023-05-12 20:57:32
Daniel,CA,Android Phone,0,superstore,,select,title_results,2023-05-12 20:56:31
Daniel,CA,Android Phone,0,superstore,Employee of the Month,select,title_results,2023-05-12 20:56:23
Daniel,CA,Android Phone,0,superstore,,select,title_results,2023-05-12 20:56:00
Daniel,CA,Android Phone,0,superstore,,select,title_results,2023-05-12 20:55:28
Daniel,CA,Android Phone,0,,The Croods: A New Age,play,prequery_results,2023-05-12 15:14:37
Daniel,CA,Android Phone,0,,The Croods: A New Age,select,prequery_results,2023-05-12 15:14:32
Daniel,CA,Android Phone,0,,,select,prequery_results,2023-05-12 15:14:11
Daniel,CA,Android Phone,0,trai,"Trailer Park Boys: Season 1: ""Take Your Little Gun and Get Out of My Trailer Park""",play,title_results,2023-05-12 14:48:49
Daniel,CA,Android Phone,0,trai,,select,title_results,2023-05-12 14:48:40
Daniel,CA,Android Phone,0,scrubs,,select,title_results,2023-05-12 05:38:33
Daniel,CA,Android Phone,0,diary of a wimpy kid,Charlie and the Chocolate Factory,select,title_results,2023-05-12 05:38:04
Kids,CA,Android Phone,1,,Minions & More Volume 1,select,prequery_results,2024-12-16 15:34:20
Ana,CA,MVPD STB,0,il ,"The Leopard: Limited Series: ""Episode 1""",play,title_results,2025-03-09 20:16:13
Ana,CA,MVPD STB,0,il ,,select,title_results,2025-03-09 20:16:02
Ana,CA,MVPD STB,0,st,Trevor Noah: Where Was I,play,suggestion_results,2023-12-21 20:25:23
Ana,CA,MVPD STB,0,st,Trevor Noah: Where Was I,select,suggestion_results,2023-12-21 20:25:19
Ana,CA,MVPD STB,0,st,,select,suggestion_results,2023-12-21 20:24:30
Ana,CA,MVPD STB,0,st,,select,suggestion_results,2023-12-21 20:24:15
Ana,CA,MVPD STB,0,vi,,play,title_results,2023-11-28 03:53:32
Ana,CA,MVPD STB,0,vi,,play,title_results,2023-11-28 03:52:38
Ana,CA,MVPD STB,0,vi,,select,title_results,2023-11-28 03:52:35
Ana,CA,MVPD STB,0,,Mowgli: Legend of the Jungle,play,suggestion_results,2023-08-07 02:00:41
Ana,CA,MVPD STB,0,,Mowgli: Legend of the Jungle,select,suggestion_results,2023-08-07 02:00:38
Ana,CA,MVPD STB,0,,,select,suggestion_results,2023-08-07 01:58:44
Ana,CA,MVPD STB,0,,,select,suggestion_results,2023-08-07 01:57:59
Ana,CA,Android Phone,0,la re,"La Reina del Sur: Season 3: ""Dying to Live""",play,title_results,2023-07-04 02:19:06
Ana,CA,Android Phone,0,la re,,select,title_results,2023-07-04 02:19:01
Ana,CA,Android Phone,0,la re,"La Reina del Sur: Season 3: ""Dying to Live""",play,title_results,2023-07-04 02:17:05
Ana,CA,Android Phone,0,la re,"La Reina del Sur: Season 3: ""Dying to Live""",play,title_results,2023-07-04 02:16:04
Ana,CA,Android Phone,0,la re,,select,title_results,2023-07-04 02:15:54
Ana,CA,Android Phone,0,maybe i do,Maybe I Do,select,title_results,2023-07-02 00:37:02
Ana,CA,Android Phone,0,,"BEEF: Season 1: ""The Great Fabricator""",play,prequery_results,2023-05-18 01:51:12
Ana,CA,Android Phone,0,,,select,prequery_results,2023-05-18 01:50:21
Ana,CA,Android Phone,0,,,select,prequery_results,2023-05-18 01:48:50
Test,CA,Set Top Box,0,terminal,Paddleton,select,title_results,2024-12-31 22:27:50
Test,CA,Set Top Box,0,terminal,Manhunt,select,title_results,2024-12-31 22:26:08
Test,CA,Set Top Box,0,terminal,Batman v Superman: Dawn of Justice,select,title_results,2024-12-31 22:23:54
Test,CA,Set Top Box,0,terminal,Paul,select,title_results,2024-12-31 22:22:14
Test,CA,Set Top Box,0,terminal,The Terminal,select,suggestion_results,2024-12-31 22:21:12
Test,CA,Set Top Box,0,chi,Double World,play,suggestion_results,2024-12-28 18:46:32
Test,CA,Set Top Box,0,chi,Double World,select,suggestion_results,2024-12-28 18:46:27
Test,CA,Set Top Box,0,chi,,select,suggestion_results,2024-12-28 18:46:25
Test,CA,Set Top Box,0,chi,Legend of The Fist : The Return of Chen Zhen,select,suggestion_results,2024-12-28 18:46:12
Test,CA,Set Top Box,0,chi,Triumph in the Skies,select,suggestion_results,2024-12-28 18:45:50
Test,CA,Set Top Box,0,chi,A Chinese Odyssey (Part I),select,suggestion_results,2024-12-28 18:45:39
Test,CA,Set Top Box,0,chi,Dynasty Warriors,supplemental-play,suggestion_results,2024-12-28 18:45:04
Test,CA,Set Top Box,0,chi,Dynasty Warriors,select,suggestion_results,2024-12-28 18:45:00
Test,CA,Set Top Box,0,chi,,select,suggestion_results,2024-12-28 18:44:46
Test,CA,Set Top Box,0,chi,"The Longest Promise: ""Episode 1""",play,suggestion_results,2024-12-28 18:39:21
Test,CA,Set Top Box,0,chi,,select,suggestion_results,2024-12-28 18:39:17
Test,CA,Set Top Box,0,chi,,select,suggestion_results,2024-12-28 18:38:50
Test,CA,Set Top Box,0,chi,,select,suggestion_results,2024-12-28 18:38:33
Test,CA,Set Top Box,0,chi,,select,suggestion_results,2024-12-28 18:38:32
Test,CA,Set Top Box,0,gree,Green Book,play,title_results,2024-12-28 16:21:42
Test,CA,Set Top Box,0,gree,Green Book,play,title_results,2024-12-28 16:13:04
Test,CA,Set Top Box,0,gree,Green Book,select,title_results,2024-12-28 16:13:00
Test,CA,Android Phone,0,angry ,,select,title_results,2023-11-30 02:51:35
Test,CA,Android Phone,0,code geass,"Death Note: ""Revival""",play,title_results,2023-11-29 19:42:21
Test,CA,Android Phone,0,code geass,,select,title_results,2023-11-29 18:53:45
Test,CA,Set Top Box,0,ever,Parasite,play,suggestion_results,2023-08-20 22:44:36
Test,CA,Set Top Box,0,ever,Parasite,select,suggestion_results,2023-08-20 22:44:31
Test,CA,Set Top Box,0,ever,Everything Everywhere All at Once,select,suggestion_results,2023-08-20 22:44:27
Test,CA,Set Top Box,0,ever,Everything Everywhere All at Once,select,suggestion_results,2023-08-20 22:33:47
Test,CA,Set Top Box,0,co,Coraline,play,title_results,2023-08-20 22:20:11
Test,CA,Set Top Box,0,co,Coraline,select,title_results,2023-08-20 22:20:01
Test,CA,Set Top Box,0,will,Monster House,play,suggestion_results,2023-08-20 22:17:17
Test,CA,Set Top Box,0,will,Monster House,select,suggestion_results,2023-08-20 22:17:12
Test,CA,Set Top Box,0,will,Willy Wonka & the Chocolate Factory,select,suggestion_results,2023-08-20 22:17:03
Test,CA,Set Top Box,0,will,Jumanji: The Next Level,play,suggestion_results,2023-08-20 22:12:39
Test,CA,Set Top Box,0,will,Jumanji: The Next Level,select,suggestion_results,2023-08-20 22:12:33
Test,CA,Set Top Box,0,will,Willy Wonka & the Chocolate Factory,select,suggestion_results,2023-08-20 22:12:18
Test,CA,Set Top Box,0,will,,select,suggestion_results,2023-08-20 22:11:59
Test,CA,Set Top Box,0,will,Bad Boys for Life,select,suggestion_results,2023-08-20 22:11:27
Test,CA,Set Top Box,0,will,,select,suggestion_results,2023-08-20 22:11:13
Test,CA,Set Top Box,0,lia,Blacklight,play,title_results,2023-08-20 22:09:13
Test,CA,Set Top Box,0,lia,Blacklight,select,title_results,2023-08-20 22:09:00
Test,CA,Set Top Box,0,lia,,select,suggestion_results,2023-08-20 22:08:14
Test,CA,Set Top Box,0,me,Men in Black,select,title_results,2023-08-20 22:02:57
Test,CA,Set Top Box,0,me,Men in Black,select,title_results,2023-08-20 22:02:50
Test,CA,Set Top Box,0,av,Avatar,select,suggestion_results,2023-08-20 22:02:08
Test,CA,Set Top Box,0,,,select,suggestion_results,2023-08-20 22:01:49
Test,CA,Set Top Box,0,,Rush Hour,play,suggestion_results,2023-08-20 21:59:25
Test,CA,Set Top Box,0,,Rush Hour,select,suggestion_results,2023-08-20 21:59:23
Test,CA,Set Top Box,0,,,select,suggestion_results,2023-08-20 21:59:19
Test,CA,Set Top Box,0,,,select,suggestion_results,2023-08-20 21:59:02
Test,CA,Set Top Box,0,jac,"Crouching Tiger, Hidden Dragon: Sword of Destiny",play,suggestion_results,2023-08-20 21:56:15
Test,CA,Set Top Box,0,jac,"Crouching Tiger, Hidden Dragon: Sword of Destiny",select,suggestion_results,2023-08-20 21:56:12
Test,CA,Set Top Box,0,jac,The Foreigner,play,suggestion_results,2023-08-20 21:53:21
Test,CA,Set Top Box,0,jac,The Foreigner,select,suggestion_results,2023-08-20 21:53:18
Test,CA,Set Top Box,0,jac,The Foreigner,play,suggestion_results,2023-08-20 21:52:03
Test,CA,Set Top Box,0,jac,The Foreigner,select,suggestion_results,2023-08-20 21:52:00
Test,CA,Set Top Box,0,jac,,select,suggestion_results,2023-08-20 21:51:48
Test,CA,Set Top Box,0,mat,The Matrix Resurrections,play,title_results,2023-08-20 19:27:21
Test,CA,Set Top Box,0,mat,The Matrix Resurrections,select,title_results,2023-08-20 19:27:17
Test,CA,Android Phone,0,seven ,"The Seven Deadly Sins: Revival of The Commandments: ""Where Love Is Found""",play,title_results,2023-06-09 02:43:45
Test,CA,Android Phone,0,seven ,"The Seven Deadly Sins: Revival of The Commandments: ""What We Lacked""",play,title_results,2023-06-09 02:40:01
Test,CA,Android Phone,0,seven ,,select,title_results,2023-06-09 02:37:28
Test,CA,Android Phone,0,,"Superstore: Season 3: ""Sal's Dead""",play,prequery_results,2023-06-09 02:36:56
Test,CA,Android Phone,0,,,select,prequery_results,2023-06-09 02:36:52
Test,CA,Android Phone,0,,,select,prequery_results,2023-06-09 02:34:35
Test,CA,Android Phone,0,superstore,"Superstore: Season 3: ""Grand Re-Opening""",play,title_results,2023-06-04 22:58:48
Test,CA,Android Phone,0,superstore,,select,title_results,2023-06-04 22:58:41
Test,CA,Android Phone,0,superstore,Employee of the Month,select,title_results,2023-06-04 22:57:14
Test,CA,Android Phone,0,superstore,"Superstore: Season 3: ""Grand Re-Opening""",play,title_results,2023-06-04 21:14:36
Test,CA,Android Phone,0,superstore,"Superstore: Season 2: ""Tornado""",play,title_results,2023-06-04 20:57:29
Test,CA,Android Phone,0,superstore,,select,title_results,2023-06-04 20:57:26
Test,CA,Android Phone,0,superstore,"Superstore: Season 1: ""Pilot""",play,title_results,2023-06-04 04:07:29
Test,CA,Android Phone,0,superstore,,select,title_results,2023-06-04 04:07:26
Test,CA,Android Phone,0,princess ,Princess Mononoke,play,title_results,2023-06-04 02:59:50
Test,CA,Android Phone,0,princess ,Princess Mononoke,select,title_results,2023-06-04 02:59:47
Test,CA,Android Phone,0,,,select,prequery_results,2023-06-04 02:58:49
Test,CA,Android Phone,0,how to traon your dr,How to Train Your Dragon,select,title_results,2023-06-04 02:56:53
Test,CA,Android Phone,0,princess mon,Princess Mononoke,play,title_results,2023-06-04 02:28:48
Test,CA,Android Phone,0,princess mon,Princess Mononoke,select,title_results,2023-06-04 02:28:45
Test,CA,Android Phone,0,mandarin,Green Snake,select,title_results,2023-06-04 02:28:17
Test,CA,Android Phone,0,mandarin,,select,title_results,2023-06-04 02:28:02
