Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Daniel,"Disenchantment: Part 3: ""You're the Bean""",DefaultWidevineAndroidPhone,2025-03-27 19:40:58,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1152042},{""eventType"":""playing"",""sessionOffsetMs"":1139,""mediaOffsetMs"":1152042},{""eventType"":""stopped"",""sessionOffsetMs"":283527,""mediaOffsetMs"":1434350}]"
Daniel,Limited Series Enhanced Clip 2: When Life Gives You Tangerines,DefaultWidevineAndroidPhone,2025-03-27 18:07:42,CA,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4359,""mediaOffsetMs"":0}]"
Daniel,My Hero Academia: Season 1 - Upper Bound Clip 7,DefaultWidevineAndroidPhone,2025-03-27 18:07:42,CA,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3491,""mediaOffsetMs"":0}]"
Daniel,My Hero Academia: Season 1 - Upper Bound Clip 5,DefaultWidevineAndroidPhone,2025-03-27 18:07:42,CA,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":622,""mediaOffsetMs"":0}]"
Daniel,Despicable Me 2,DefaultWidevineAndroidPhone,2025-03-27 18:07:24,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2857173},{""eventType"":""playing"",""sessionOffsetMs"":1179,""mediaOffsetMs"":2857173},{""eventType"":""paused"",""sessionOffsetMs"":43135,""mediaOffsetMs"":2899036},{""eventType"":""playing"",""sessionOffsetMs"":46488,""mediaOffsetMs"":2899048},{""eventType"":""paused"",""sessionOffsetMs"":262094,""mediaOffsetMs"":3114568},{""eventType"":""stopped"",""sessionOffsetMs"":263128,""mediaOffsetMs"":3114578}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-26 13:54:42,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":525397},{""eventType"":""playing"",""sessionOffsetMs"":563,""mediaOffsetMs"":525397},{""eventType"":""paused"",""sessionOffsetMs"":166008,""mediaOffsetMs"":690621},{""eventType"":""stopped"",""sessionOffsetMs"":271748,""mediaOffsetMs"":690624}]"
Daniel,"Disenchantment: Part 3: ""You're the Bean""",DefaultWidevineAndroidPhone,2025-03-26 02:49:50,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":909824},{""eventType"":""playing"",""sessionOffsetMs"":887,""mediaOffsetMs"":909824},{""eventType"":""paused"",""sessionOffsetMs"":244933,""mediaOffsetMs"":1153646},{""eventType"":""stopped"",""sessionOffsetMs"":1145294,""mediaOffsetMs"":1153666}]"
Daniel,Kung Fu Panda,DefaultWidevineAndroidPhone,2025-03-26 01:44:32,CA,[]
Daniel,Kung Fu Panda,DefaultWidevineAndroidPhone,2025-03-26 01:27:33,CA,[]
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-26 00:03:15,CA,[]
Daniel,Despicable Me,DefaultWidevineAndroidPhone,2025-03-26 00:03:01,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2871188},{""eventType"":""playing"",""sessionOffsetMs"":992,""mediaOffsetMs"":2871188},{""eventType"":""stopped"",""sessionOffsetMs"":10997,""mediaOffsetMs"":2880921}]"
Daniel,My Hero Academia: Season 1 - Upper Bound Clip 5,DefaultWidevineAndroidPhone,2025-03-25 23:50:52,CA,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":6633,""mediaOffsetMs"":0}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 23:50:43,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":3497961},{""eventType"":""playing"",""sessionOffsetMs"":949,""mediaOffsetMs"":3497961},{""eventType"":""paused"",""sessionOffsetMs"":674269,""mediaOffsetMs"":4170993},{""eventType"":""stopped"",""sessionOffsetMs"":674918,""mediaOffsetMs"":4170993}]"
Daniel,My Hero Academia: Season 1 - Upper Bound Clip 5,DefaultWidevineAndroidPhone,2025-03-25 23:49:52,CA,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":14256,""mediaOffsetMs"":0}]"
Daniel,"My Hero Academia: Season 5: ""All Hands on Deck! Class 1-A""",DefaultWidevineAndroidPhone,2025-03-25 23:49:31,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1268,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":15883,""mediaOffsetMs"":17877},{""eventType"":""stopped"",""sessionOffsetMs"":61160,""mediaOffsetMs"":84682}]"
Daniel,Trailer 1: Back to the Outback,DefaultWidevineAndroidPhone,2025-03-25 23:45:26,CA,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1445,""mediaOffsetMs"":0}]"
Daniel,Kung Fu Panda_Autohook_9_16x9,DefaultWidevineAndroidPhone,2025-03-25 23:45:12,CA,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4788,""mediaOffsetMs"":0}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 22:25:32,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":3365820},{""eventType"":""playing"",""sessionOffsetMs"":794,""mediaOffsetMs"":3365820},{""eventType"":""paused"",""sessionOffsetMs"":134772,""mediaOffsetMs"":3499651},{""eventType"":""stopped"",""sessionOffsetMs"":4761892,""mediaOffsetMs"":3499662}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 22:08:50,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4766805},{""eventType"":""playing"",""sessionOffsetMs"":1071,""mediaOffsetMs"":4766805},{""eventType"":""paused"",""sessionOffsetMs"":5935,""mediaOffsetMs"":4771266},{""eventType"":""playing"",""sessionOffsetMs"":430367,""mediaOffsetMs"":4771268},{""eventType"":""paused"",""sessionOffsetMs"":608503,""mediaOffsetMs"":4921017},{""eventType"":""reposition"",""sessionOffsetMs"":608541,""mediaOffsetMs"":3070000},{""eventType"":""playing"",""sessionOffsetMs"":608616,""mediaOffsetMs"":3068398},{""eventType"":""paused"",""sessionOffsetMs"":616609,""mediaOffsetMs"":3076219},{""eventType"":""reposition"",""sessionOffsetMs"":616609,""mediaOffsetMs"":3066219},{""eventType"":""playing"",""sessionOffsetMs"":616662,""mediaOffsetMs"":3066146},{""eventType"":""paused"",""sessionOffsetMs"":716700,""mediaOffsetMs"":3166006},{""eventType"":""reposition"",""sessionOffsetMs"":716700,""mediaOffsetMs"":3155997},{""eventType"":""playing"",""sessionOffsetMs"":716777,""mediaOffsetMs"":3150355},{""eventType"":""paused"",""sessionOffsetMs"":822115,""mediaOffsetMs"":3255514},{""eventType"":""reposition"",""sessionOffsetMs"":822115,""mediaOffsetMs"":3265514},{""eventType"":""playing"",""sessionOffsetMs"":822167,""mediaOffsetMs"":3264219},{""eventType"":""paused"",""sessionOffsetMs"":924748,""mediaOffsetMs"":3366635},{""eventType"":""stopped"",""sessionOffsetMs"":988238,""mediaOffsetMs"":3366641}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 21:40:11,CA,[]
Daniel,Modest Heroes: Ponoc Short Films Theatre,DefaultWidevineAndroidPhone,2025-03-25 21:37:10,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1008097},{""eventType"":""playing"",""sessionOffsetMs"":706,""mediaOffsetMs"":1008097},{""eventType"":""paused"",""sessionOffsetMs"":22792,""mediaOffsetMs"":1029746},{""eventType"":""reposition"",""sessionOffsetMs"":23070,""mediaOffsetMs"":450000},{""eventType"":""playing"",""sessionOffsetMs"":23132,""mediaOffsetMs"":442240},{""eventType"":""paused"",""sessionOffsetMs"":43243,""mediaOffsetMs"":462165},{""eventType"":""reposition"",""sessionOffsetMs"":108811,""mediaOffsetMs"":462068},{""eventType"":""playing"",""sessionOffsetMs"":109123,""mediaOffsetMs"":460308},{""eventType"":""paused"",""sessionOffsetMs"":110401,""mediaOffsetMs"":461335},{""eventType"":""playing"",""sessionOffsetMs"":116953,""mediaOffsetMs"":461340},{""eventType"":""stopped"",""sessionOffsetMs"":168084,""mediaOffsetMs"":512405}]"
Daniel,Klaus,DefaultWidevineAndroidPhone,2025-03-25 21:29:20,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":3974741},{""eventType"":""playing"",""sessionOffsetMs"":1064,""mediaOffsetMs"":3974741},{""eventType"":""paused"",""sessionOffsetMs"":358654,""mediaOffsetMs"":4332105},{""eventType"":""playing"",""sessionOffsetMs"":387311,""mediaOffsetMs"":4332116},{""eventType"":""stopped"",""sessionOffsetMs"":459972,""mediaOffsetMs"":4404529}]"
Daniel,Klaus,DefaultWidevineAndroidPhone,2025-03-25 18:50:40,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":3393920},{""eventType"":""playing"",""sessionOffsetMs"":1100,""mediaOffsetMs"":3393920},{""eventType"":""paused"",""sessionOffsetMs"":583093,""mediaOffsetMs"":3975512},{""eventType"":""stopped"",""sessionOffsetMs"":583713,""mediaOffsetMs"":3975512}]"
Daniel,Klaus,DefaultWidevineAndroidPhone,2025-03-25 17:56:58,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2670464},{""eventType"":""playing"",""sessionOffsetMs"":928,""mediaOffsetMs"":2670464},{""eventType"":""stopped"",""sessionOffsetMs"":723928,""mediaOffsetMs"":3393464}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 17:51:35,CA,[]
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 16:39:44,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":3817088},{""eventType"":""playing"",""sessionOffsetMs"":677,""mediaOffsetMs"":3817088},{""eventType"":""paused"",""sessionOffsetMs"":487046,""mediaOffsetMs"":4303260},{""eventType"":""reposition"",""sessionOffsetMs"":1081695,""mediaOffsetMs"":4303163},{""eventType"":""playing"",""sessionOffsetMs"":1081794,""mediaOffsetMs"":4303104},{""eventType"":""paused"",""sessionOffsetMs"":1239755,""mediaOffsetMs"":4460842},{""eventType"":""stopped"",""sessionOffsetMs"":1240239,""mediaOffsetMs"":4460851}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 16:02:05,CA,[]
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 15:58:58,CA,[]
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 15:40:45,CA,[]
Daniel,Moneyball,DefaultWidevineAndroidPhone,2025-03-25 02:14:14,CA,[]
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 01:57:46,CA,[]
Daniel,Klaus,DefaultWidevineAndroidPhone,2025-03-25 01:57:32,CA,[]
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-25 00:51:19,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":295},{""eventType"":""playing"",""sessionOffsetMs"":1148,""mediaOffsetMs"":295},{""eventType"":""stopped"",""sessionOffsetMs"":3871148,""mediaOffsetMs"":3870295}]"
