Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Daniel,android,playback,,,2025-03-25 23:44:54
Daniel,android,cachedVideos,,,2025-03-25 23:44:54
Daniel,android,cachedVideos,,,2025-03-25 22:25:31
Daniel,android,playback,,,2025-03-25 22:25:31
Daniel,android,cachedVideos,,,2025-03-25 22:25:18
Daniel,android,cachedVideos,,,2025-03-25 22:08:50
Daniel,android,playback,,,2025-03-25 22:04:50
Daniel,android,cachedVideos,,,2025-03-25 22:04:50
Daniel,android,cachedVideos,,,2025-03-25 21:40:11
Daniel,android,playback,,,2025-03-25 21:40:11
Daniel,android,myProfileView,,,2025-03-25 21:40:07
Daniel,android,cachedVideos,,,2025-03-25 21:40:07
Daniel,android,myProfileView,,,2025-03-25 21:40:05
Daniel,android,myProfileView,,,2025-03-25 21:40:05
Daniel,android,myProfileView,,,2025-03-25 21:40:01
Daniel,android,playback,,,2025-03-25 21:40:01
Daniel,android,myProfileView,,,2025-03-25 21:40:00
Daniel,android,playback,,,2025-03-25 21:40:00
Daniel,android,myProfileView,,,2025-03-25 21:37:10
Daniel,android,playback,,,2025-03-25 21:37:10
Daniel,android,playback,,,2025-03-25 21:37:00
Daniel,android,myProfileView,,,2025-03-25 21:37:00
Daniel,android,myProfileView,,,2025-03-25 21:29:19
Daniel,android,playback,,,2025-03-25 21:29:19
Daniel,android,playback,,,2025-03-25 19:00:23
Daniel,android,myProfileView,,,2025-03-25 19:00:23
Daniel,android,playback,,,2025-03-25 18:50:40
Daniel,android,myProfileView,,,2025-03-25 18:50:39
Daniel,android,myProfileView,,,2025-03-25 18:27:15
Daniel,android,playback,,,2025-03-25 18:09:29
Daniel,android,myProfileView,,,2025-03-25 18:09:29
Daniel,android,playback,,,2025-03-25 17:56:58
Daniel,android,myProfileView,,,2025-03-25 17:56:58
Daniel,android,playback,,,2025-03-25 17:56:58
Daniel,android,myProfileView,,,2025-03-25 17:56:58
Daniel,android,playback,,,2025-03-25 17:51:35
Daniel,android,myProfileView,,,2025-03-25 17:51:34
Daniel,android,myProfileView,,,2025-03-25 17:37:58
Daniel,android,playback,,,2025-03-25 17:00:24
Daniel,android,myProfileView,,,2025-03-25 17:00:24
Daniel,android,myProfileView,,,2025-03-25 16:39:44
Daniel,android,playback,,,2025-03-25 16:39:43
Daniel,android,playback,,,2025-03-25 16:37:34
Daniel,android,myProfileView,,,2025-03-25 16:37:34
Daniel,android,playback,,,2025-03-25 16:23:36
Daniel,android,myProfileView,,,2025-03-25 16:23:36
Daniel,android,playback,,,2025-03-25 16:02:07
Daniel,android,myProfileView,,,2025-03-25 16:02:05
Daniel,android,myProfileView,,,2025-03-25 16:01:50
Daniel,android,playback,,,2025-03-25 16:01:50
Daniel,android,myProfileView,,,2025-03-25 15:58:59
Daniel,android,playback,,,2025-03-25 15:58:59
Daniel,android,myProfileView,,,2025-03-25 15:43:06
Daniel,android,playback,,,2025-03-25 15:43:06
Daniel,android,myProfileView,,,2025-03-25 15:40:46
Daniel,android,playback,,,2025-03-25 15:40:44
Daniel,android,cachedVideos,,,2025-03-25 15:40:37
Daniel,android,myProfileView,,,2025-03-25 15:40:37
Daniel,android,playback,,,2025-03-25 02:15:31
Daniel,android,cachedVideos,,,2025-03-25 02:15:31
Daniel,android,cachedVideos,,,2025-03-25 02:14:16
Daniel,android,playback,,,2025-03-25 02:14:16
Daniel,android,movieDetails,,,2025-03-25 02:14:09
Daniel,android,cachedVideos,,,2025-03-25 02:14:09
Daniel,android,profilesGate,,,2025-03-25 02:13:44
Daniel,android,movieDetails,,,2025-03-25 02:13:44
Daniel,android,profilesGate,,,2025-03-25 02:13:41
Daniel,android,profilesGate,,,2025-03-25 02:13:41
Daniel,android,profilesGate,,,2025-03-25 02:13:39
Daniel,android,cachedVideos,,,2025-03-25 02:13:38
Daniel,android,myProfileView,,,2025-03-25 02:13:33
Daniel,android,cachedVideos,,,2025-03-25 02:13:33
Daniel,android,cachedVideos,,,2025-03-25 02:13:25
Daniel,android,myProfileView,,,2025-03-25 02:13:25
Daniel,android,cachedVideos,,,2025-03-25 02:11:00
Daniel,android,playback,,,2025-03-25 02:11:00
Daniel,android,playback,,,2025-03-25 01:57:49
Daniel,android,cachedVideos,,,2025-03-25 01:57:47
Daniel,android,playback,,,2025-03-25 01:57:44
Daniel,android,cachedVideos,,,2025-03-25 01:57:44
Daniel,android,cachedVideos,,,2025-03-25 01:57:34
Daniel,android,playback,,,2025-03-25 01:57:32
Daniel,android,cachedVideos,,,2025-03-25 01:57:22
Daniel,android,playback,,,2025-03-25 01:41:14
Daniel,android,playback,,,2025-03-25 00:51:20
Daniel,android,cachedVideos,,,2025-03-25 00:51:19
Daniel,android,cachedVideos,,,2025-03-25 00:47:43
Daniel,android,cachedVideos,,,2025-03-25 00:47:43
Daniel,android,movieDetails,,,2025-03-25 00:47:42
